eid,titulo,ano,source,temas_pesquisa
2-s2.0-85177049867,"Contaminating dreams and resistances: The house, the screen and the between",2021,Urdimento,Visual Arts and Performing Arts
2-s2.0-85112018034,Modeling of Ring Opening Polymerization: A short review with insights on how to develop the method of moments,2021,Chemical Engineering Science,Chemistry (all) | Chemical Engineering (all) | Industrial and Manufacturing Engineering
2-s2.0-85123030376,Physical aspects of orange essential oil-contaning particles after vacuum spray drying processing,2021,Food Chemistry X,Analytical Chemistry | Food Science
2-s2.0-85128718275,Paulo Freire in three law projects,2021,Latin American Journal of Discourse Studies,Communication | Linguistics and Language
2-s2.0-85121916623,New Insights on the Sodium Water-in-Salt Electrolyte and Carbon Electrode Interface from Electrochemistry and Operando Raman Studies,2021,ACS Applied Materials and Interfaces,Materials Science (all)
2-s2.0-85121829749,Adsorption of lysozyme into a charged confining pore,2021,Physical Chemistry Chemical Physics,Physics and Astronomy (all) | Physical and Theoretical Chemistry
2-s2.0-85121030186,Spatial Separation of Plasmonic Hot-Electron Generation and a Hydrodehalogenation Reaction Center Using a DNA Wire,2021,ACS Nano,Materials Science (all) | Engineering (all) | Physics and Astronomy (all)
2-s2.0-85122209024,A critical review on circular and regenerative urban areas,2021,Iop Conference Series Earth and Environmental Science,Environmental Science (all) | Earth and Planetary Sciences (all)
2-s2.0-85122198340,Review of archetype development strategies for energy assessment at urban scale,2021,Iop Conference Series Earth and Environmental Science,Environmental Science (all) | Earth and Planetary Sciences (all)
2-s2.0-85127015894,Design of super-paramagnetic bilayer films based on chitosan and sodium alginate,2021,Carbohydrate Polymer Technologies and Applications,Biochemistry | Biotechnology | Chemistry (miscellaneous) | Analytical Chemistry | Materials Chemistry | Polymers and Plastics
2-s2.0-105018115889,Effects of Tadalafil on Sexual Desire and Arousal/Lubrication in Postmenopausal Women,2021,Urologia Colombiana,Urology
2-s2.0-85143677293,"Cololobus ruschianus (Vernonieae, Asteraceae), a Threatened Narrow Endemic Species from Atlantic Forest Inselbergs, Espírito Santo, Brazil",2021,Systematic Botany,"Ecology, Evolution, Behavior and Systematics | Genetics | Plant Science"
2-s2.0-85141996409,A New Species of Phyllocladiferous Phyllanthus (Phyllanthaceae) from the Atlantic Rain Forest,2021,Systematic Botany,"Ecology, Evolution, Behavior and Systematics | Genetics | Plant Science"
2-s2.0-85122952023,Sensitivity and specificity of open access systems to detect potential drug-drug interactions,2021,Medicina Brazil,Medicine (all)
2-s2.0-85121984035,A Method to Induce Brown/Beige Adipocyte Differentiation from Murine Preadipocytes,2021,Bio Protocol,"Neuroscience (all) | Biochemistry, Genetics and Molecular Biology (all) | Immunology and Microbiology (all) | Plant Science"
2-s2.0-85119443972,Antimicrobial Activity of Cashew Gum–Gelatin Coacervates as a Food Ingredient,2021,ACS Agricultural Science and Technology,Food Science | Agronomy and Crop Science | Agricultural and Biological Sciences (miscellaneous) | Plant Science
2-s2.0-85119412568,Effect of Protic Ionic Liquids in Sugar Cane Bagasse Pretreatment for Lignin Valorization and Ethanol Production,2021,ACS Sustainable Chemistry and Engineering,"Chemistry (all) | Environmental Chemistry | Chemical Engineering (all) | Renewable Energy, Sustainability and the Environment"
2-s2.0-85108501068,An extended goal programming model for the multiobjective integrated lot-sizing and cutting stock problem,2021,European Journal of Operational Research,Computer Science (all) | Modeling and Simulation | Management Science and Operations Research | Information Systems and Management
