grau,quantidade_vertices
0,377
1,1829
2,3809
3,5564
4,8123
5,1057
6,933
7,716
8,470
9,306
10,275
11,200
12,169
13,133
14,103
15,88
16,65
17,72
18,55
19,58
20,42
21,33
22,29
23,33
24,25
25,25
26,17
27,24
28,21
29,15
30,14
31,11
32,13
33,11
34,9
35,8
36,10
37,12
38,5
39,4
40,9
41,8
42,4
43,4
44,4
45,3
46,4
47,5
48,6
49,8
51,6
53,2
54,5
55,3
56,1
57,1
58,1
59,1
60,1
61,1
62,2
63,2
66,2
68,1
70,1
71,3
72,1
74,2
75,2
79,2
81,1
82,2
84,1
91,1
97,2
102,1
130,1
