author_id,grau,grau_ponderado
10040418700,4,4
10043438600,4,4
10044272100,1,1
10044311600,10,22
10044784300,3,3
10045081700,3,3
10045319200,2,2
10045571300,4,4
10046424800,3,12
10138852200,4,4
10141156000,2,4
10141421300,4,4
10142248500,3,3
10143354000,3,3
10143670400,4,4
10144066900,5,5
10144113300,3,11
10242521300,2,2
10244705900,7,7
10539970600,4,4
10540689200,4,4
10639386400,3,3
10639703100,4,4
10640725400,4,4
10641480600,2,2
10641603500,3,5
10642180700,17,27
10739967500,4,4
10839624200,4,4
10839904000,4,4
10939275100,8,8
11041215900,4,4
11041471000,22,44
11140774200,3,3
11141125900,4,4
11240082200,2,2
11240893200,4,6
11339072000,1,1
11438764100,3,3
11439250900,14,14
11440300600,4,4
11539663100,2,2
11541014500,4,4
11738879800,4,4
11739264400,3,3
11739296200,25,26
11839154600,4,4
11839749100,9,11
11840063400,4,4
11939758400,3,3
11939831600,2,2
11940056900,4,4
11940527700,8,19
11940724400,1,1
11941059300,12,12
12039319200,4,4
12041649700,12,17
12042047500,3,5
12042067700,4,4
12042528300,3,3
12139944800,4,4
12140426000,4,4
12140978500,4,4
12141305200,43,72
12142068500,30,37
12142761800,5,5
12142980800,16,61
12143506000,4,4
12143742300,2,2
12240246800,5,8
12240845100,2,2
12241738600,4,4
12242010500,3,3
12243115900,7,16
12243683100,4,7
12244271100,8,10
12244286600,8,9
12244625200,3,3
12345031100,5,7
12445473500,2,2
12445852500,4,4
12446313600,2,2
12544981700,4,4
12546067600,4,4
12645025400,4,4
12645700300,2,2
12646098200,3,3
12646125400,2,2
12646175000,39,61
12752292500,3,3
12752695000,3,3
12759789800,4,4
12760886300,1,1
12761692600,3,3
12762025200,19,37
12765627300,7,17
12768970800,4,4
12770180400,4,4
12772134600,4,4
12772219800,5,6
12772767000,3,3
12774727300,4,4
12776204000,4,4
12776250500,3,3
12778267100,4,4
12778374200,4,4
12779013400,38,75
12779397500,4,4
12779714700,3,3
12780694800,12,16
12781993500,4,4
12782337200,2,2
12782630800,27,38
12782803400,4,4
12783424700,18,22
12783829900,4,4
12785183900,1,1
12785208800,1,1
12785708100,2,2
12786182200,4,4
12786393300,4,4
12786571000,4,4
12787223000,1,1
12788785800,4,6
12789059800,12,35
12790218900,3,3
12790816600,4,4
12792506700,4,4
12792644500,4,4
12794390300,2,2
12798667600,4,4
12798848100,1,1
12801111200,3,3
12801393200,7,8
12804338800,4,4
12804479700,10,15
12805509300,51,194
12806732700,4,4
12806914200,2,2
12806917300,2,2
12807013000,4,4
12807124500,3,3
12807248900,22,25
12807819800,3,3
12807827200,53,75
12808046800,15,18
12809396900,4,4
12902588500,3,3
12902598900,6,8
13002719900,14,15
13002871000,6,9
13003092600,4,5
13003314500,4,4
13003394200,3,3
13004958600,4,4
13006196900,4,4
13006880900,4,4
13007075600,2,2
13007813200,4,4
13007898500,3,3
13102566300,0,0
13103004700,8,29
13104130100,13,14
13104402000,17,21
13105240500,4,4
13105530800,3,3
13204456400,4,4
13205134800,4,4
