grau_ponderado,quantidade_vertices
0,377
1,1656
2,3555
3,5056
4,7496
5,584
6,894
7,809
8,1022
9,316
10,344
11,332
12,307
13,178
14,184
15,178
16,169
17,95
18,96
19,89
20,86
21,69
22,75
23,54
24,55
25,49
26,49
27,60
28,34
29,32
30,30
31,27
32,21
33,34
34,32
35,23
36,23
37,18
38,13
39,14
40,19
41,13
42,12
43,5
44,7
45,11
46,8
47,10
48,6
49,7
50,11
51,11
52,8
53,7
54,3
55,7
56,4
57,9
58,5
59,5
60,4
61,5
62,5
63,4
64,5
65,5
66,6
67,5
68,3
69,1
70,3
71,5
72,3
73,6
74,2
75,5
77,2
78,1
79,3
80,1
81,2
82,3
84,1
85,2
86,5
87,1
88,2
89,2
90,1
91,1
92,1
93,1
94,4
95,2
96,6
97,3
98,1
100,2
101,1
103,2
104,1
106,1
107,1
108,1
110,1
111,1
112,1
116,1
118,2
119,1
121,1
123,3
124,1
126,1
127,1
130,1
131,1
132,2
134,2
135,1
137,1
138,2
139,2
145,2
148,1
149,2
150,1
159,2
171,1
185,1
194,1
202,1
208,1
215,1
251,1
258,1
295,1
